Year,DJIA Avg. Adj,YoY Growth,annotations,Nominal GDP (million of Dollars),Real GDP (millions of 2017 dollars),GDP Deflator (index 2017=100),Population,Nominal GDP per capita (current dollars),Real GDP per capita (year 2017 dollars)
1915,2246.55,,,"39,048","695,924",5.61,"100,546,000",388.36,"6,921.45"
1916,2663.34,18.55%,,"50,117","792,425",6.32,"101,961,000",491.53,"7,771.84"
1917,2092.91,-21.42%,,"60,278","772,825",7.8,"103,414,000",582.88,"7,473.12"
1918,1634.03,-21.93%,,"76,567","842,527",9.09,"104,550,000",732.35,"8,058.60"
1919,1758.02,7.59%,,"79,090","849,287",9.31,"105,063,000",752.78,"8,083.60"
1920,1371.87,-21.97%,,"89,246","841,350",10.61,"106,461,000",838.3,"7,902.90"
1921,1250.03,-8.88%,,"74,314","822,062",9.04,"108,538,000",684.68,"7,573.95"
1922,1691.05,35.28%,Roaring 20s,"74,140","867,711",8.54,"110,049,000",673.7,"7,884.76"
1923,1690.37,-0.04%,,"86,238","981,966",8.78,"111,947,000",770.35,"8,771.70"
1924,1776.05,5.07%,,"87,786","1,012,202",8.67,"114,109,000",769.32,"8,870.48"
1925,2341.53,31.84%,,"91,449","1,035,978",8.83,"115,829,000",789.52,"8,944.03"
1926,2634.39,12.51%,,"97,885","1,103,673",8.87,"117,397,000",833.79,"9,401.20"
1927,3083.66,17.05%,,"96,466","1,114,332",8.66,"119,035,000",810.4,"9,361.38"
1928,4029.78,30.68%,,"98,305","1,127,103",8.72,"120,509,000",815.74,"9,352.85"
1929,5586.94,38.64%,"Oct 14th, 1929:  Major Wall Street Crash, signalling the great depression that lasted through 1932","104,556","1,191,100",8.75,"121,878,000",857.87,"9,772.89"
1930,4306.79,-22.91%,,"92,160","1,089,800",8.42,"123,188,000",748.12,"8,846.64"
1931,2778.47,-35.49%,,"77,391","1,020,000",7.58,"124,149,000",623.37,"8,215.93"
1932,1435.16,-48.35%,,"59,522","888,400",6.72,"124,949,000",476.37,"7,110.10"
1933,1980.47,38.00%,,"57,154","877,400",6.54,"125,690,000",454.72,"6,980.67"
1934,2232.02,12.70%,,"66,800","972,300",6.86,"126,485,000",528.13,"7,687.08"
1935,2676.70,19.92%,,"74,241","1,058,800",6.99,"127,362,000",582.91,"8,313.31"
1936,3552.84,32.73%,,"84,830","1,195,300",7.08,"128,181,000",661.8,"9,325.09"
1937,3522.03,-0.87%,"Recession of 1937-1938:  hit in the midst of the recovery from the Great Depression. The primary causes are believed to be Federal Reserve and Treasury Department policies that caused a contraction in the money supply in addition to other contractionary fiscal policies. As a result, real gross domestic product (GDP) fell 10%, while unemployment hit 20%, having already declined considerably after 1933.","93,003","1,256,500",7.34,"128,961,000",721.17,"9,743.26"
1938,2860.22,-18.79%,,"87,352","1,214,900",7.2,"129,969,000",672.1,"9,347.61"
1939,3125.24,9.27%,,"93,437","1,312,400",7.11,"131,028,000",713.11,"10,016.18"
1940,2930.36,-6.24%,,"102,899","1,428,100",7.18,"132,122,000",778.82,"10,808.95"
1941,2527.43,-13.75%,,"129,309","1,681,000",7.65,"133,402,000",969.32,"12,601.01"
1942,2002.99,-20.75%,WW2 Bull Market starts in april,"165,952","1,998,500",8.29,"134,860,000","1,230.55","14,819.07"
1943,2376.37,18.64%,,"203,084","2,338,800",8.68,"136,739,000","1,485.19","17,104.12"
1944,2481.32,4.42%,,"224,447","2,524,800",8.89,"138,397,000","1,621.76","18,243.17"
1945,2871.95,15.74%,,"228,007","2,500,100",9.11,"139,928,000","1,629.46","17,867.05"
1946,2992.58,4.20%,,"227,535","2,209,900",10.26,"141,389,000","1,609.28","15,629.93"
1947,2425.00,-18.97%,,"249,616","2,184,600",11.41,"144,126,000","1,731.93","15,157.57"
1948,2273.03,-6.27%,,"274,468","2,274,600",12.06,"146,631,000","1,871.83","15,512.41"
1949,2300.21,1.20%,Post WW2 Boom lasting 86 months,"272,475","2,261,900",12.05,"149,188,000","1,826.39","15,161.41"
1950,2734.43,18.88%,,"299,827","2,458,500",12.17,"151,684,000","1,976.66","16,208.04"
1951,3016.69,10.32%,,"346,914","2,656,300",12.99,"154,287,000","2,248.50","17,216.62"
1952,3108.45,3.04%,,"367,341","2,764,800",13.27,"156,954,000","2,340.44","17,615.35"
1953,3147.90,1.27%,,"389,218","2,894,400",13.44,"159,565,000","2,439.24","18,139.32"
1954,3787.13,20.31%,,"390,549","2,877,700",13.58,"162,391,000","2,404.99","17,720.81"
1955,5033.10,32.90%,,"425,478","3,083,000",13.77,"165,275,000","2,574.36","18,653.76"
1956,5525.08,9.77%,,"449,353","3,148,800",14.24,"168,221,000","2,671.21","18,718.23"
1957,5162.27,-6.57%,,"474,039","3,215,100",14.74,"171,274,000","2,767.72","18,771.68"
1958,5179.47,0.33%,,"481,229","3,191,200",15.09,"174,141,000","2,763.44","18,325.38"
1959,6623.51,27.88%,,"521,654","3,412,400",15.29,"177,130,000","2,945.03","19,264.95"
1960,6361.91,-3.95%,,"542,382","3,500,300",15.49,"180,760,000","3,000.56","19,364.35"
1961,7049.29,10.80%,,"562,209","3,590,100",15.66,"183,742,000","3,059.77","19,538.81"
1962,6448.56,-8.52%,"The Kennedy slide of 1962 was a flash crash, during which the DJIA fell 5.7%, its second-largest point decline ever at that time. This crash occurred following a run-up in the market that had lured many investors into a false sense of security, with stocks rising 27% in 1961. When the break happened, fear quickly spread. Households significantly reduced their purchases of stocks, leading to 8% of stockbrokers bailing the market throughout 1962.","603,922","3,810,100",15.85,"186,590,000","3,236.63","20,419.64"
1963,7116.61,10.36%,,"637,450","3,976,100",16.03,"189,300,000","3,367.41","21,004.23"
1964,8198.30,15.20%,,"684,460","4,205,300",16.28,"191,927,000","3,566.25","21,910.93"
1965,8809.30,7.45%,,"742,289","4,478,600",16.57,"194,347,000","3,819.40","23,044.35"
1966,8207.98,-6.83%,,"813,414","4,773,900",17.04,"196,599,000","4,137.43","24,282.42"
